inventory_id,snapshot_date,warehouse_id,warehouse_city,region,product_id,batch_id,manufacture_date,expiry_date,opening_stock_units,received_units,sold_units,damaged_units,closing_stock_units,reorder_level_units,stockout_days,near_expiry_units_90d,inventory_value_inr
I001045,2024-05-31,W06,Hyderabad,South,P001,P001-05-W06,2023-12-01,2026-12-01,787,785,1572,0,0,806,3,0,0
I001046,2024-05-31,W06,Hyderabad,South,P002,P002-05-W06,2023-09-01,2026-09-01,904,1176,1700,8,372,908,0,0,9035.88
I001047,2024-05-31,W06,Hyderabad,South,P003,P003-05-W06,2023-09-01,2025-09-01,2014,1379,1829,7,1557,766,0,0,60349.32
I001048,2024-05-31,W06,Hyderabad,South,P004,P004-05-W06,2023-12-01,2025-06-01,1008,1288,1325,12,959,698,0,0,34313.02
I001049,2024-05-31,W06,Hyderabad,South,P005,P005-05-W06,2023-06-01,2025-12-01,1851,1015,1140,3,1723,954,0,0,78430.96
I001050,2024-05-31,W06,Hyderabad,South,P006,P006-05-W06,2023-09-01,2025-03-01,1333,692,1382,4,639,806,0,0,37081.17
I001051,2024-05-31,W06,Hyderabad,South,P007,P007-05-W06,2023-12-01,2025-06-01,1939,855,888,10,1896,988,0,0,119258.4
I001052,2024-05-31,W06,Hyderabad,South,P008,P008-05-W06,2023-09-01,2026-03-01,423,820,1243,0,0,856,4,0,0
I001053,2024-05-31,W06,Hyderabad,South,P009,P009-05-W06,2023-09-01,2025-03-01,1702,1324,1922,14,1090,925,0,0,70490.3
I001054,2024-05-31,W06,Hyderabad,South,P010,P010-05-W06,2023-03-01,2026-03-01,658,1489,1069,14,1064,800,0,0,78725.36
I001055,2024-05-31,W06,Hyderabad,South,P011,P011-05-W06,2023-12-01,2026-06-01,499,665,1164,0,0,552,7,0,0
I001056,2024-05-31,W06,Hyderabad,South,P012,P012-05-W06,2023-12-01,2026-12-01,410,60,470,0,0,953,2,0,0
I001057,2024-05-31,W06,Hyderabad,South,P013,P013-05-W06,2023-06-01,2024-12-01,2242,466,1558,1,1149,772,0,0,31298.76
I001058,2024-05-31,W06,Hyderabad,South,P014,P014-05-W06,2023-03-01,2024-09-01,1927,14,858,13,1070,816,0,0,27113.8
I001059,2024-05-31,W06,Hyderabad,South,P015,P015-05-W06,2023-12-01,2026-12-01,1082,1441,1719,9,795,677,0,0,22578
I001060,2024-05-31,W06,Hyderabad,South,P016,P016-05-W06,2023-06-01,2025-12-01,1512,606,1532,12,574,648,0,0,27804.56
I001061,2024-05-31,W06,Hyderabad,South,P017,P017-05-W06,2023-06-01,2025-12-01,1512,883,1907,4,484,706,0,0,23822.48
I001062,2024-05-31,W06,Hyderabad,South,P018,P018-05-W06,2023-12-01,2026-06-01,1783,119,735,10,1157,900,0,0,79104.09
I001063,2024-05-31,W06,Hyderabad,South,P019,P019-05-W06,2023-06-01,2025-06-01,2381,965,1475,11,1860,717,0,0,129121.2
I001064,2024-05-31,W06,Hyderabad,South,P020,P020-05-W06,2023-06-01,2024-12-01,568,1012,472,1,1107,935,0,0,62301.96
I001065,2024-05-31,W06,Hyderabad,South,P021,P021-05-W06,2023-06-01,2025-06-01,1800,743,682,9,1852,806,0,0,134677.44
I001066,2024-05-31,W06,Hyderabad,South,P022,P022-05-W06,2023-03-01,2024-09-01,1018,1416,1526,8,900,722,0,0,69984
I001067,2024-05-31,W06,Hyderabad,South,P023,P023-05-W06,2023-03-01,2025-09-01,1769,645,1390,8,1016,777,0,0,95036.64
I001068,2024-05-31,W06,Hyderabad,South,P024,P024-05-W06,2023-06-01,2025-06-01,2567,1147,1058,13,2643,990,0,0,572368.08
I001069,2024-05-31,W06,Hyderabad,South,P025,P025-05-W06,2023-06-01,2024-12-01,2037,792,1745,10,1074,706,0,0,16604.04
I001070,2024-05-31,W06,Hyderabad,South,P026,P026-05-W06,2023-06-01,2024-12-01,1124,217,1341,0,0,705,3,0,0
I001071,2024-05-31,W06,Hyderabad,South,P027,P027-05-W06,2023-12-01,2025-06-01,889,1427,1007,15,1294,691,0,0,44500.66
I001072,2024-05-31,W06,Hyderabad,South,P028,P028-05-W06,2023-03-01,2025-09-01,1850,827,579,9,2089,639,0,0,93085.84
I001073,2024-05-31,W06,Hyderabad,South,P029,P029-05-W06,2023-09-01,2026-09-01,1695,91,942,7,837,871,0,0,53944.65
I001074,2024-05-31,W06,Hyderabad,South,P030,P030-05-W06,2023-06-01,2026-06-01,2546,95,1906,6,729,594,0,0,45475.02
I001075,2024-05-31,W06,Hyderabad,South,P031,P031-05-W06,2023-03-01,2026-03-01,1836,34,895,13,962,651,0,0,56248.14
I001076,2024-05-31,W06,Hyderabad,South,P032,P032-05-W06,2023-06-01,2025-12-01,1275,992,731,11,1525,922,0,0,78766.25
I001077,2024-05-31,W06,Hyderabad,South,P033,P033-05-W06,2023-12-01,2026-06-01,1007,1247,1010,6,1238,828,0,0,86944.74
I001078,2024-05-31,W06,Hyderabad,South,P034,P034-05-W06,2023-06-01,2024-12-01,1721,739,1667,16,777,963,0,0,51398.55
I001079,2024-05-31,W06,Hyderabad,South,P035,P035-05-W06,2023-06-01,2025-12-01,1287,655,601,13,1328,719,0,0,118218.56
I001080,2024-05-31,W06,Hyderabad,South,P036,P036-05-W06,2023-09-01,2025-03-01,2534,219,1906,11,836,586,0,0,189680.04
I001081,2024-06-30,W01,Delhi,North,P001,P001-06-W01,2024-01-01,2027-01-01,2008,639,1633,11,1003,657,0,0,20992.79
I001082,2024-06-30,W01,Delhi,North,P002,P002-06-W01,2024-01-01,2027-01-01,910,840,1674,7,69,933,0,0,1676.01
I001083,2024-06-30,W01,Delhi,North,P003,P003-06-W01,2023-04-01,2025-04-01,586,703,669,6,614,965,0,0,23798.64
I001084,2024-06-30,W01,Delhi,North,P004,P004-06-W01,2024-01-01,2025-07-01,1008,129,1137,0,0,829,2,0,0
I001085,2024-06-30,W01,Delhi,North,P005,P005-06-W01,2023-10-01,2026-04-01,1759,966,1925,3,797,536,0,0,36279.44
I001086,2024-06-30,W01,Delhi,North,P006,P006-06-W01,2023-07-01,2025-01-01,2465,885,506,11,2833,615,0,0,164398.99
I001087,2024-06-30,W01,Delhi,North,P007,P007-06-W01,2024-01-01,2025-07-01,2247,437,1191,2,1491,945,0,0,93783.9
I001088,2024-06-30,W01,Delhi,North,P008,P008-06-W01,2023-10-01,2026-04-01,1530,125,889,15,751,900,0,0,48124.08
I001089,2024-06-30,W01,Delhi,North,P009,P009-06-W01,2024-01-01,2025-07-01,1222,1107,604,15,1710,742,0,0,110585.7
I001090,2024-06-30,W01,Delhi,North,P010,P010-06-W01,2023-07-01,2026-07-01,1107,680,1394,1,392,758,0,0,29004.08
I001091,2024-06-30,W01,Delhi,North,P011,P011-06-W01,2023-10-01,2026-04-01,2135,1314,1904,15,1530,978,0,0,144768.6
I001092,2024-06-30,W01,Delhi,North,P012,P012-06-W01,2023-04-01,2026-04-01,1501,960,869,11,1581,746,0,0,351298.2
I001093,2024-06-30,W01,Delhi,North,P013,P013-06-W01,2023-10-01,2025-04-01,2239,556,933,2,1860,950,0,0,50666.4
I001094,2024-06-30,W01,Delhi,North,P014,P014-06-W01,2024-01-01,2025-07-01,768,245,1013,0,0,684,7,0,0
I001095,2024-06-30,W01,Delhi,North,P015,P015-06-W01,2024-01-01,2027-01-01,2108,1223,1643,15,1673,566,0,0,47513.2
I001096,2024-06-30,W01,Delhi,North,P016,P016-06-W01,2023-07-01,2026-01-01,1014,698,562,2,1148,969,0,0,55609.12
I001097,2024-06-30,W01,Delhi,North,P017,P017-06-W01,2023-10-01,2026-04-01,792,158,950,0,0,959,3,0,0
I001098,2024-06-30,W01,Delhi,North,P018,P018-06-W01,2023-07-01,2026-01-01,1617,1239,1938,7,911,815,0,0,62285.07
I001099,2024-06-30,W01,Delhi,North,P019,P019-06-W01,2024-01-01,2026-01-01,2318,1453,1871,10,1890,943,0,0,131203.8
I001100,2024-06-30,W01,Delhi,North,P020,P020-06-W01,2024-01-01,2025-07-01,2134,1376,869,12,2629,704,0,0,147960.12
I001101,2024-06-30,W01,Delhi,North,P021,P021-06-W01,2023-07-01,2025-07-01,2111,298,1448,12,949,548,0,0,69011.28
I001102,2024-06-30,W01,Delhi,North,P022,P022-06-W01,2023-10-01,2025-04-01,1841,917,1896,1,861,833,0,0,66951.36
I001103,2024-06-30,W01,Delhi,North,P023,P023-06-W01,2024-01-01,2026-07-01,611,1193,513,15,1276,918,0,0,119357.04
I001104,2024-06-30,W01,Delhi,North,P024,P024-06-W01,2023-04-01,2025-04-01,2101,456,1065,1,1491,949,0,0,322890.96
I001105,2024-06-30,W01,Delhi,North,P025,P025-06-W01,2023-10-01,2025-04-01,2577,1151,513,10,3205,520,0,0,49549.3
I001106,2024-06-30,W01,Delhi,North,P026,P026-06-W01,2024-01-01,2025-07-01,1883,1480,1400,15,1948,953,0,0,49829.84
I001107,2024-06-30,W01,Delhi,North,P027,P027-06-W01,2023-07-01,2025-01-01,1902,259,1815,1,345,661,0,0,11864.55
I001108,2024-06-30,W01,Delhi,North,P028,P028-06-W01,2023-10-01,2026-04-01,1050,915,1733,14,218,503,0,0,9714.08
I001109,2024-06-30,W01,Delhi,North,P029,P029-06-W01,2023-04-01,2026-04-01,2595,1203,1309,7,2482,677,0,0,159964.9
I001110,2024-06-30,W01,Delhi,North,P030,P030-06-W01,2023-04-01,2026-04-01,2185,427,960,4,1648,636,0,0,102802.24
I001111,2024-06-30,W01,Delhi,North,P031,P031-06-W01,2023-04-01,2026-04-01,408,1115,495,6,1022,718,0,0,59756.34
I001112,2024-06-30,W01,Delhi,North,P032,P032-06-W01,2023-07-01,2026-01-01,1845,713,1560,11,987,712,0,0,50978.55
I001113,2024-06-30,W01,Delhi,North,P033,P033-06-W01,2024-01-01,2026-07-01,2062,947,589,9,2411,993,0,0,169324.53
I001114,2024-06-30,W01,Delhi,North,P034,P034-06-W01,2023-04-01,2024-10-01,2267,933,1116,2,2082,613,0,0,137724.3
I001115,2024-06-30,W01,Delhi,North,P035,P035-06-W01,2023-10-01,2026-04-01,1178,929,573,2,1532,963,0,0,136378.64
I001116,2024-06-30,W01,Delhi,North,P036,P036-06-W01,2023-04-01,2024-10-01,2543,1284,1427,11,2389,741,0,0,542040.21
I001117,2024-06-30,W02,Mumbai,West,P001,P001-06-W02,2023-10-01,2026-10-01,2203,568,963,1,1807,605,0,0,37820.51
I001118,2024-06-30,W02,Mumbai,West,P002,P002-06-W02,2023-10-01,2026-10-01,1378,1096,700,1,1773,516,0,0,43066.17
I001119,2024-06-30,W02,Mumbai,West,P003,P003-06-W02,2023-10-01,2025-10-01,1522,1005,1472,12,1043,987,0,0,40426.68
I001120,2024-06-30,W02,Mumbai,West,P004,P004-06-W02,2023-07-01,2025-01-01,2339,212,660,15,1876,654,0,0,67123.28
I001121,2024-06-30,W02,Mumbai,West,P005,P005-06-W02,2024-01-01,2026-07-01,541,418,602,0,357,523,0,0,16250.64
I001122,2024-06-30,W02,Mumbai,West,P006,P006-06-W02,2024-01-01,2025-07-01,2031,1286,818,2,2497,669,0,0,144900.91
I001123,2024-06-30,W02,Mumbai,West,P007,P007-06-W02,2023-07-01,2025-01-01,637,557,1078,13,103,893,0,0,6478.7
I001124,2024-06-30,W02,Mumbai,West,P008,P008-06-W02,2023-07-01,2026-01-01,1591,497,491,7,1590,657,0,0,101887.2
I001125,2024-06-30,W02,Mumbai,West,P009,P009-06-W02,2024-01-01,2025-07-01,866,836,1416,14,272,759,0,0,17590.24
I001126,2024-06-30,W02,Mumbai,West,P010,P010-06-W02,2024-01-01,2027-01-01,1032,1079,1050,4,1057,528,0,0,78207.43
I001127,2024-06-30,W02,Mumbai,West,P011,P011-06-W02,2023-04-01,2025-10-01,2214,326,783,6,1751,501,0,0,165679.62
I001128,2024-06-30,W02,Mumbai,West,P012,P012-06-W02,2023-07-01,2026-07-01,2545,410,1249,14,1692,999,0,0,375962.4
I001129,2024-06-30,W02,Mumbai,West,P013,P013-06-W02,2023-07-01,2025-01-01,785,1316,1201,16,884,858,0,0,24080.16
I001130,2024-06-30,W02,Mumbai,West,P014,P014-06-W02,2023-10-01,2025-04-01,984,795,1369,9,401,785,0,0,10161.34
I001131,2024-06-30,W02,Mumbai,West,P015,P015-06-W02,2023-04-01,2026-04-01,1229,1044,488,14,1771,953,0,0,50296.4
I001132,2024-06-30,W02,Mumbai,West,P016,P016-06-W02,2023-10-01,2026-04-01,1932,1456,759,12,2617,520,0,0,126767.48
I001133,2024-06-30,W02,Mumbai,West,P017,P017-06-W02,2024-01-01,2026-07-01,863,513,1253,12,111,829,0,0,5463.42
I001134,2024-06-30,W02,Mumbai,West,P018,P018-06-W02,2024-01-01,2026-07-01,489,116,605,0,0,622,5,0,0
I001135,2024-06-30,W02,Mumbai,West,P019,P019-06-W02,2023-07-01,2025-07-01,2214,1126,1362,7,1971,525,0,0,136826.82
I001136,2024-06-30,W02,Mumbai,West,P020,P020-06-W02,2023-04-01,2024-10-01,2475,1015,584,12,2894,573,0,0,162874.32
I001137,2024-06-30,W02,Mumbai,West,P021,P021-06-W02,2024-01-01,2026-01-01,541,498,1039,0,0,541,12,0,0
I001138,2024-06-30,W02,Mumbai,West,P022,P022-06-W02,2023-10-01,2025-04-01,2190,691,832,1,2048,868,0,0,159252.48
I001139,2024-06-30,W02,Mumbai,West,P023,P023-06-W02,2023-07-01,2026-01-01,1724,1500,651,11,2562,778,0,0,239649.48
I001140,2024-06-30,W02,Mumbai,West,P024,P024-06-W02,2023-10-01,2025-10-01,869,838,1488,5,214,928,0,0,46343.84
I001141,2024-06-30,W02,Mumbai,West,P025,P025-06-W02,2023-10-01,2025-04-01,2378,1187,1140,13,2412,903,0,0,37289.52
I001142,2024-06-30,W02,Mumbai,West,P026,P026-06-W02,2023-04-01,2024-10-01,2524,1307,1539,0,2292,769,0,0,58629.36
I001143,2024-06-30,W02,Mumbai,West,P027,P027-06-W02,2024-01-01,2025-07-01,1882,225,1330,5,772,661,0,0,26549.08
I001144,2024-06-30,W02,Mumbai,West,P028,P028-06-W02,2024-01-01,2026-07-01,616,870,1486,0,0,732,9,0,0
I001145,2024-06-30,W02,Mumbai,West,P029,P029-06-W02,2023-07-01,2026-07-01,2434,403,1263,11,1563,609,0,0,100735.35
I001146,2024-06-30,W02,Mumbai,West,P030,P030-06-W02,2023-04-01,2026-04-01,1435,272,710,14,983,639,0,0,61319.54
I001147,2024-06-30,W02,Mumbai,West,P031,P031-06-W02,2023-04-01,2026-04-01,2457,158,1511,2,1102,951,0,0,64433.94
I001148,2024-06-30,W02,Mumbai,West,P032,P032-06-W02,2023-04-01,2025-10-01,1713,357,1306,2,762,873,0,0,39357.3
I001149,2024-06-30,W02,Mumbai,West,P033,P033-06-W02,2024-01-01,2026-07-01,2506,229,949,8,1778,803,0,0,124868.94
I001150,2024-06-30,W02,Mumbai,West,P034,P034-06-W02,2024-01-01,2025-07-01,1521,459,1112,16,852,547,0,0,56359.8
I001151,2024-06-30,W02,Mumbai,West,P035,P035-06-W02,2024-01-01,2026-07-01,417,1346,1145,6,612,910,0,0,54480.24
I001152,2024-06-30,W02,Mumbai,West,P036,P036-06-W02,2024-01-01,2025-07-01,568,1113,1681,0,0,612,8,0,0
I001153,2024-06-30,W03,Bengaluru,South,P001,P001-06-W03,2024-01-01,2027-01-01,1152,1421,1408,11,1154,940,0,0,24153.22
I001154,2024-06-30,W03,Bengaluru,South,P002,P002-06-W03,2023-04-01,2026-04-01,455,832,1031,12,244,516,0,0,5926.76
I001155,2024-06-30,W03,Bengaluru,South,P003,P003-06-W03,2024-01-01,2026-01-01,797,551,1323,9,16,724,0,0,620.16
I001156,2024-06-30,W03,Bengaluru,South,P004,P004-06-W03,2023-04-01,2024-10-01,439,787,1226,0,0,663,5,0,0
I001157,2024-06-30,W03,Bengaluru,South,P005,P005-06-W03,2023-04-01,2025-10-01,1955,652,1789,1,817,671,0,0,37189.84
I001158,2024-06-30,W03,Bengaluru,South,P006,P006-06-W03,2024-01-01,2025-07-01,692,349,915,8,118,534,0,0,6847.54
I001159,2024-06-30,W03,Bengaluru,South,P007,P007-06-W03,2023-10-01,2025-04-01,470,1206,1676,0,0,599,12,0,0
I001160,2024-06-30,W03,Bengaluru,South,P008,P008-06-W03,2023-04-01,2025-10-01,1052,764,610,7,1199,643,0,0,76831.92
I001161,2024-06-30,W03,Bengaluru,South,P009,P009-06-W03,2023-04-01,2024-10-01,538,1122,718,5,937,893,0,0,60595.79
I001162,2024-06-30,W03,Bengaluru,South,P010,P010-06-W03,2024-01-01,2027-01-01,2592,1065,709,5,2943,690,0,0,217752.57
I001163,2024-06-30,W03,Bengaluru,South,P011,P011-06-W03,2023-07-01,2026-01-01,434,642,706,9,361,591,0,0,34157.82
I001164,2024-06-30,W03,Bengaluru,South,P012,P012-06-W03,2023-04-01,2026-04-01,2252,404,778,6,1872,866,0,0,415958.4
I001165,2024-06-30,W03,Bengaluru,South,P013,P013-06-W03,2023-10-01,2025-04-01,1405,237,873,0,769,966,0,0,20947.56
I001166,2024-06-30,W03,Bengaluru,South,P014,P014-06-W03,2023-04-01,2024-10-01,2013,111,1528,13,583,991,0,0,14773.22
I001167,2024-06-30,W03,Bengaluru,South,P015,P015-06-W03,2024-01-01,2027-01-01,1474,788,1284,10,968,690,0,0,27491.2
I001168,2024-06-30,W03,Bengaluru,South,P016,P016-06-W03,2024-01-01,2026-07-01,2371,566,1218,5,1714,710,0,0,83026.16
I001169,2024-06-30,W03,Bengaluru,South,P017,P017-06-W03,2023-04-01,2025-10-01,1936,304,538,12,1690,612,0,0,83181.8
I001170,2024-06-30,W03,Bengaluru,South,P018,P018-06-W03,2024-01-01,2026-07-01,856,263,1119,0,0,661,8,0,0
I001171,2024-06-30,W03,Bengaluru,South,P019,P019-06-W03,2023-10-01,2025-10-01,609,887,1042,2,452,969,0,0,31377.84
I001172,2024-06-30,W03,Bengaluru,South,P020,P020-06-W03,2023-07-01,2025-01-01,1330,176,990,8,508,539,0,0,28590.24
I001173,2024-06-30,W03,Bengaluru,South,P021,P021-06-W03,2023-04-01,2025-04-01,2200,273,1138,14,1321,724,0,0,96063.12
I001174,2024-06-30,W03,Bengaluru,South,P022,P022-06-W03,2023-07-01,2025-01-01,1779,1200,1874,8,1097,539,0,0,85302.72
I001175,2024-06-30,W03,Bengaluru,South,P023,P023-06-W03,2023-04-01,2025-10-01,1889,887,1017,10,1749,964,0,0,163601.46
I001176,2024-06-30,W03,Bengaluru,South,P024,P024-06-W03,2024-01-01,2026-01-01,1781,1441,1534,4,1684,805,0,0,364687.04
I001177,2024-06-30,W03,Bengaluru,South,P025,P025-06-W03,2023-10-01,2025-04-01,1646,469,1651,5,459,988,0,0,7096.14
I001178,2024-06-30,W03,Bengaluru,South,P026,P026-06-W03,2024-01-01,2025-07-01,1728,1390,1626,3,1489,734,0,0,38088.62
I001179,2024-06-30,W03,Bengaluru,South,P027,P027-06-W03,2023-07-01,2025-01-01,1435,1208,1607,15,1021,532,0,0,35112.19
I001180,2024-06-30,W03,Bengaluru,South,P028,P028-06-W03,2023-04-01,2025-10-01,1720,888,991,12,1605,923,0,0,71518.8
I001181,2024-06-30,W03,Bengaluru,South,P029,P029-06-W03,2023-07-01,2026-07-01,1435,1414,787,9,2053,990,0,0,132315.85
I001182,2024-06-30,W03,Bengaluru,South,P030,P030-06-W03,2023-07-01,2026-07-01,691,404,791,8,296,735,0,0,18464.48
I001183,2024-06-30,W03,Bengaluru,South,P031,P031-06-W03,2024-01-01,2027-01-01,1393,1369,1684,2,1076,931,0,0,62913.72
I001184,2024-06-30,W03,Bengaluru,South,P032,P032-06-W03,2024-01-01,2026-07-01,1838,480,1728,6,584,686,0,0,30163.6
I001185,2024-06-30,W03,Bengaluru,South,P033,P033-06-W03,2023-07-01,2026-01-01,2402,74,1122,10,1344,980,0,0,94389.12
I001186,2024-06-30,W03,Bengaluru,South,P034,P034-06-W03,2024-01-01,2025-07-01,2468,276,726,9,2009,547,0,0,132895.35
I001187,2024-06-30,W03,Bengaluru,South,P035,P035-06-W03,2023-10-01,2026-04-01,1610,504,1784,13,317,801,0,0,28219.34
I001188,2024-06-30,W03,Bengaluru,South,P036,P036-06-W03,2023-07-01,2025-01-01,1912,999,824,13,2074,677,0,0,470569.86
I001189,2024-06-30,W04,Kolkata,East,P001,P001-06-W04,2024-01-01,2027-01-01,1677,841,1237,11,1270,985,0,0,26581.1
I001190,2024-06-30,W04,Kolkata,East,P002,P002-06-W04,2023-07-01,2026-07-01,2304,870,1933,13,1228,755,0,0,29828.12
I001191,2024-06-30,W04,Kolkata,East,P003,P003-06-W04,2024-01-01,2026-01-01,2356,540,506,13,2377,835,0,0,92132.52
I001192,2024-06-30,W04,Kolkata,East,P004,P004-06-W04,2023-07-01,2025-01-01,1786,188,452,7,1515,663,0,0,54206.7
I001193,2024-06-30,W04,Kolkata,East,P005,P005-06-W04,2023-04-01,2025-10-01,1533,952,1167,14,1304,613,0,0,59358.08
I001194,2024-06-30,W04,Kolkata,East,P006,P006-06-W04,2023-10-01,2025-04-01,2237,885,617,8,2497,930,0,0,144900.91
I001195,2024-06-30,W04,Kolkata,East,P007,P007-06-W04,2024-01-01,2025-07-01,596,107,703,0,0,973,6,0,0
I001196,2024-06-30,W04,Kolkata,East,P008,P008-06-W04,2024-01-01,2026-07-01,943,1420,1852,9,502,522,0,0,32168.16
I001197,2024-06-30,W04,Kolkata,East,P009,P009-06-W04,2023-10-01,2025-04-01,2058,740,797,13,1988,815,0,0,128563.96
I001198,2024-06-30,W04,Kolkata,East,P010,P010-06-W04,2023-07-01,2026-07-01,1621,1394,799,10,2206,853,0,0,163221.94
I001199,2024-06-30,W04,Kolkata,East,P011,P011-06-W04,2023-07-01,2026-01-01,627,1370,1846,4,147,530,0,0,13909.14
I001200,2024-06-30,W04,Kolkata,East,P012,P012-06-W04,2023-07-01,2026-07-01,441,552,627,14,352,632,0,0,78214.4
I001201,2024-06-30,W04,Kolkata,East,P013,P013-06-W04,2023-04-01,2024-10-01,1776,1011,781,5,2001,793,0,0,54507.24
I001202,2024-06-30,W04,Kolkata,East,P014,P014-06-W04,2023-10-01,2025-04-01,1099,844,994,10,939,846,0,0,23794.26
I001203,2024-06-30,W04,Kolkata,East,P015,P015-06-W04,2023-07-01,2026-07-01,839,875,1634,15,65,649,0,0,1846
I001204,2024-06-30,W04,Kolkata,East,P016,P016-06-W04,2023-10-01,2026-04-01,1654,153,1012,4,791,704,0,0,38316.04
I001205,2024-06-30,W04,Kolkata,East,P017,P017-06-W04,2023-04-01,2025-10-01,2384,539,1938,14,971,758,0,0,47792.62
I001206,2024-06-30,W04,Kolkata,East,P018,P018-06-W04,2023-07-01,2026-01-01,2225,1152,823,6,2548,578,0,0,174206.76
I001207,2024-06-30,W04,Kolkata,East,P019,P019-06-W04,2024-01-01,2026-01-01,1687,535,980,6,1236,752,0,0,85803.12
I001208,2024-06-30,W04,Kolkata,East,P020,P020-06-W04,2023-04-01,2024-10-01,808,1084,1892,0,0,722,10,0,0
I001209,2024-06-30,W04,Kolkata,East,P021,P021-06-W04,2024-01-01,2026-01-01,415,1223,1448,12,178,773,0,0,12944.16
I001210,2024-06-30,W04,Kolkata,East,P022,P022-06-W04,2024-01-01,2025-07-01,2381,1332,1061,14,2638,743,0,0,205130.88
I001211,2024-06-30,W04,Kolkata,East,P023,P023-06-W04,2023-07-01,2026-01-01,1543,1288,1387,7,1437,764,0,0,134416.98
I001212,2024-06-30,W04,Kolkata,East,P024,P024-06-W04,2023-04-01,2025-04-01,2110,412,1277,1,1244,884,0,0,269400.64
I001213,2024-06-30,W04,Kolkata,East,P025,P025-06-W04,2023-10-01,2025-04-01,1795,1263,794,7,2257,884,0,0,34893.22
I001214,2024-06-30,W04,Kolkata,East,P026,P026-06-W04,2023-10-01,2025-04-01,2455,247,1405,12,1285,871,0,0,32870.3
I001215,2024-06-30,W04,Kolkata,East,P027,P027-06-W04,2023-04-01,2024-10-01,1453,261,757,4,953,843,0,0,32773.67
I001216,2024-06-30,W04,Kolkata,East,P028,P028-06-W04,2023-07-01,2026-01-01,605,738,533,12,798,670,0,0,35558.88
I001217,2024-06-30,W04,Kolkata,East,P029,P029-06-W04,2023-07-01,2026-07-01,2215,272,729,1,1757,935,0,0,113238.65
I001218,2024-06-30,W04,Kolkata,East,P030,P030-06-W04,2023-07-01,2026-07-01,1600,1415,1533,4,1478,918,0,0,92197.64
I001219,2024-06-30,W04,Kolkata,East,P031,P031-06-W04,2023-07-01,2026-07-01,1047,1167,1663,3,548,721,0,0,32041.56
I001220,2024-06-30,W04,Kolkata,East,P032,P032-06-W04,2023-07-01,2026-01-01,707,918,1602,3,20,893,0,0,1033
I001221,2024-06-30,W04,Kolkata,East,P033,P033-06-W04,2023-10-01,2026-04-01,1057,435,1044,9,439,963,0,0,30830.97
I001222,2024-06-30,W04,Kolkata,East,P034,P034-06-W04,2023-07-01,2025-01-01,970,1453,1591,5,827,796,0,0,54706.05
I001223,2024-06-30,W04,Kolkata,East,P035,P035-06-W04,2023-10-01,2026-04-01,2120,90,679,14,1517,711,0,0,135043.34
I001224,2024-06-30,W04,Kolkata,East,P036,P036-06-W04,2024-01-01,2025-07-01,1402,1302,1931,2,771,557,0,0,174932.19
I001225,2024-06-30,W05,Indore,Central,P001,P001-06-W05,2023-07-01,2026-07-01,486,1007,540,9,944,572,0,0,19757.92
I001226,2024-06-30,W05,Indore,Central,P002,P002-06-W05,2024-01-01,2027-01-01,1851,882,1378,6,1349,502,0,0,32767.21
I001227,2024-06-30,W05,Indore,Central,P003,P003-06-W05,2023-10-01,2025-10-01,785,1384,1757,8,404,792,0,0,15659.04
I001228,2024-06-30,W05,Indore,Central,P004,P004-06-W05,2023-10-01,2025-04-01,716,198,914,0,0,837,13,0,0
I001229,2024-06-30,W05,Indore,Central,P005,P005-06-W05,2023-07-01,2026-01-01,2358,1343,1366,14,2321,559,0,0,105651.92
I001230,2024-06-30,W05,Indore,Central,P006,P006-06-W05,2023-10-01,2025-04-01,1009,1217,508,2,1716,811,0,0,99579.48
I001231,2024-06-30,W05,Indore,Central,P007,P007-06-W05,2023-10-01,2025-04-01,1952,720,1451,5,1216,769,0,0,76486.4
I001232,2024-06-30,W05,Indore,Central,P008,P008-06-W05,2023-10-01,2026-04-01,621,547,1168,0,0,510,12,0,0
I001233,2024-06-30,W05,Indore,Central,P009,P009-06-W05,2023-04-01,2024-10-01,1225,924,975,10,1164,918,0,0,75275.88
I001234,2024-06-30,W05,Indore,Central,P010,P010-06-W05,2023-10-01,2026-10-01,2479,848,1727,8,1592,802,0,0,117792.08
I001235,2024-06-30,W05,Indore,Central,P011,P011-06-W05,2023-10-01,2026-04-01,1261,782,1811,14,218,612,0,0,20627.16
I001236,2024-06-30,W05,Indore,Central,P012,P012-06-W05,2023-07-01,2026-07-01,713,250,963,0,0,596,1,0,0
I001237,2024-06-30,W05,Indore,Central,P013,P013-06-W05,2023-07-01,2025-01-01,1508,855,1099,13,1251,637,0,0,34077.24
I001238,2024-06-30,W05,Indore,Central,P014,P014-06-W05,2024-01-01,2025-07-01,696,320,1016,0,0,636,10,0,0
I001239,2024-06-30,W05,Indore,Central,P015,P015-06-W05,2023-10-01,2026-10-01,557,1279,1815,14,7,590,0,0,198.8
I001240,2024-06-30,W05,Indore,Central,P016,P016-06-W05,2024-01-01,2026-07-01,1280,1131,812,3,1596,910,0,0,77310.24
I001241,2024-06-30,W05,Indore,Central,P017,P017-06-W05,2024-01-01,2026-07-01,1063,573,1630,5,1,759,0,0,49.22
I001242,2024-06-30,W05,Indore,Central,P018,P018-06-W05,2023-07-01,2026-01-01,673,932,1026,9,570,924,0,0,38970.9
